N,P,K,pH,Organic_Carbon,Region,Crop,Soil_Type,Moisture,Temperature,Rainfall,Fertility
42,28,35,6.4,1.8,North,Maize,Loam,24.1,24.8,680,Medium
68,42,58,6.8,2.7,North,Wheat,Clay Loam,28.4,21.2,590,High
18,12,20,5.7,0.9,North,Millet,Sandy Loam,16.8,26.1,420,Low
55,,47,6.2,2.1,East,Rice,Clay,35.2,27.4,1040,Medium
73,51,66,7.1,3.2,East,Sugarcane,Clay Loam,38.5,28.1,1170,High
24,19,28,5.9,1.1,East,Groundnut,Sandy Loam,18.7,29.0,510,Low
47,33,39,6.5,1.9,South,Cotton,Loam,22.6,27.8,740,Medium
82,58,72,7.3,3.8,South,Banana,Clay,41.3,26.4,1250,High
13,9,17,5.4,0.7,South,Pulses,Sandy,14.5,30.2,390,Low
61,37,54,6.7,2.4,West,Soybean,Loam,26.9,23.3,710,High
36,24,31,6.1,1.4,West,Barley,Sandy Loam,19.8,20.7,470,Medium
29,17,25,5.8,1.0,West,Chickpea,Sandy,17.2,22.4,450,Low
50,31,44,6.3,2.0,North,Maize,Loam,23.2,25.0,660,Medium
67,46,61,6.9,2.9,East,Wheat,Clay Loam,30.1,22.1,620,High
21,15,22,5.6,0.8,South,Millet,Sandy Loam,15.9,28.8,400,Low
58,35,49,6.6,2.3,West,Cotton,Loam,25.4,24.0,735,Medium
76,54,69,7.0,3.5,North,Rice,Clay,34.7,26.8,980,High
44,29,37,6.0,1.6,East,Groundnut,Loam,21.5,28.2,560,Medium
9,7,14,5.2,0.5,South,Pulses,Sandy,12.8,31.0,360,Low
64,41,57,6.8,2.6,West,Soybean,Clay Loam,27.6,23.8,705,High
52,34,46,6.4,2.0,North,Barley,Loam,22.4,20.9,525,Medium
31,21,29,5.9,1.2,East,Chickpea,Sandy Loam,18.4,24.7,480,Low
70,48,63,7.2,3.1,South,Banana,Clay,39.2,27.1,1190,High
47,33,39,6.5,1.9,South,Cotton,Loam,22.6,27.8,740,Medium
-4,26,34,6.2,1.7,West,Maize,Loam,20.1,25.6,650,Low
45,30,41,14.8,1.9,North,Wheat,Loam,23.1,22.8,610,Medium
54,36,48,6.5,,East,Rice,Clay,33.6,27.9,1010,Medium
39,25,33,6.0,1.5,West,Barley,Loam,20.2,21.5,500,Medium
